,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
0,dd-1620-D/Long/short,toto_v2_umup_capk1e4,1.0183182710981638,1.0183182710981638,0.5485595013462218,1.3780815489958937,2.8847901769950566,0.8172942794661268,15.564294115535034,1.009117570503142,1.06020410560392,0.5763303033216708,0.4817263759209067,Database,59
1,dd-1621-D/Long/short,toto_v2_umup_capk1e4,1.07014306640625,1.07014306640625,0.4277067464192708,0.5347315960074599,0.8881055501302083,0.8306453374592535,7.0586623090955305,1.0344771947250697,1.9149400960601748,0.7917359631029619,0.6433335038842304,Application Usage,100
2,dd-1622-D/Long/short,toto_v2_umup_capk1e4,0.5587508913070437,0.5587508913070437,0.26351810031467016,0.7289986877083925,0.5981055850074405,0.4813509401011302,8.128034843158922,0.7474964155814018,1.8136711292096377,0.6393812205683274,0.5319828558756582,"Networking, Application Usage",21
3,dd-1625-D/Long/short,toto_v2_umup_capk1e4,1.7435752868652343,1.7435752868652343,0.8404815673828125,1.0285519482772005,2.6254811604817707,1.0703797856558133,10.561290535574832,1.3204451093723033,1.3226872286458167,0.8419087072978958,0.6564737775055038,Application Usage,8
4,dd-1626-D/Long/short,toto_v2_umup_capk1e4,0.027656757831573488,0.027656757831573488,0.03110614816347758,0.16566867527951054,0.04498169422149658,0.07424448124558625,8.590179122494533,0.16630321052695732,1.3671799273636134,0.2557238747944162,0.2821582684830206,Infrastructure,1
5,dd-1627-H/Medium/short,toto_v2_umup_capk1e4,1.8350952283678149e-07,1.8350952283678149e-07,0.00035322954257329303,0.001064853681990054,0.0008984459564089775,0.0008987191314157548,0.025624502314242053,0.00042838011489421574,0.0010897199636961063,0.0008985507751787537,0.0010217168681452829,Infrastructure,1
6,dd-1629-D/Long/short,toto_v2_umup_capk1e4,1.0201598737224842,1.0201598737224842,0.6563083480738994,2.6847228396415477,1.7788380748820756,0.7887388257643567,22.97074731167826,1.010029640021759,0.8518859826582644,0.5535479949021213,0.44707470350854245,Infrastructure,53
7,dd-1630-D/Long/short,toto_v2_umup_capk1e4,0.3151337305704753,0.3151337305704753,0.40098702112833656,1.4801125156837123,1.0844415028889973,0.9583671933811961,17.036220266461914,0.5613677320353169,1.1285311483790972,0.8061139207242599,0.7672629193502775,Infrastructure,1
8,dd-1633-D/Long/short,toto_v2_umup_capk1e4,1.3888187408447266,1.3888187408447266,0.9205506642659506,3.1389903128654297,1.0248513539632162,1.9278012175123285,26.341159170599614,1.1784815403071558,1.2769296374488224,0.9974517086351813,0.8469594684405171,Infrastructure,1
9,dd-1640-D/Long/short,toto_v2_umup_capk1e4,0.36893548965454104,0.36893548965454104,0.48361504872639977,1.5481224977097294,0.41713600158691405,0.3309544707145156,23.526350048162225,0.6074006006372903,0.39439369362163784,0.3140180058401202,0.32795623118451595,Infrastructure,2
10,dd-1641-30T/Short/short,toto_v2_umup_capk1e4,1.0522249353286275e-21,1.0522249353286275e-21,1.7145398681053496e-11,,0.0,0.8666666666666667,,3.2438016821757576e-11,5.7243559097219255e-11,3.025658590774146e-11,3.345636145690908e-11,Application Usage,30
11,dd-1642-30T/Short/short,toto_v2_umup_capk1e4,1.0522249353286275e-21,1.0522249353286275e-21,1.7145398681053496e-11,,0.0,0.8666666666666667,,3.2438016821757576e-11,5.7243559097219255e-11,3.025658590774146e-11,3.345636145690908e-11,Application Usage,30
12,dd-1643-30T/Short/short,toto_v2_umup_capk1e4,6.475230150318099e-22,6.475230150318099e-22,1.0551014383174283e-11,,0.0,0.5333333333333333,,2.5446473528404872e-11,3.469973662964301e-11,1.4387746886146749e-11,1.5909318734753968e-11,Application Usage,30
13,dd-1646-D/Long/short,toto_v2_umup_capk1e4,0.9247301101684571,0.9247301101684571,0.8456865310668945,2.2206200292184195,0.7910012563069662,0.9050345076439332,23.17881376957758,0.9616288838052116,0.765998615944623,0.6736431519786468,0.5520540054273595,Infrastructure,1
14,dd-1647-D/Long/short,toto_v2_umup_capk1e4,0.00015394797859092553,0.00015394797859092553,0.008790595332781474,0.04850914551207759,0.10677230358123779,0.09687719766950895,0.473718253755367,0.01240757746665019,0.1302413260262678,0.09227416034911778,0.07746542685406994,Infrastructure,1
15,dd-1653-D/Long/short,toto_v2_umup_capk1e4,0.0006958131988843282,0.0006958131988843282,0.008425821860631308,0.03615140076902475,0.29237957000732423,0.10126512855405391,0.5622159506512902,0.026378271339955697,0.2214891350480144,0.0707486844732341,0.06373738172819286,"Database, Application Usage",1
16,dd-1654-D/Long/short,toto_v2_umup_capk1e4,1.0998497009277344,1.0998497009277344,0.49239619572957355,1.1272178036224014,1.103467051188151,0.8114820448095111,13.76841043188847,1.0487371934511212,1.6747492319961714,0.7863172544899105,0.6652522249180259,"Database, Application Usage",1
17,dd-1656-D/Long/short,toto_v2_umup_capk1e4,3.9490229288736978,3.9490229288736978,0.8340499877929688,3.469638029546042,4.421807352701823,1.035602273601883,60.63252270933201,1.9872148673139747,2.2361836217007007,0.9385441670448348,0.8345749370727356,"Database, Application Usage",1
18,dd-1665-D/Long/short,toto_v2_umup_capk1e4,0.2924521764119466,0.2924521764119466,0.48117666244506835,1.2209278491817697,2.4885269165039063,1.6352511861820778,13.059105747184098,0.5407884765894578,1.6136748393364915,1.4357973719417292,0.9628397125376691,Database,1
19,dd-1666-D/Long/short,toto_v2_umup_capk1e4,0.2925300598144531,0.2925300598144531,0.4812406857808431,1.2211087569577892,2.4876859029134115,1.6352418325992384,13.060214740556908,0.5408604809139351,1.6136209173459144,1.4357492629923327,0.9628004600145784,Database,1
20,dd-1667-D/Long/short,toto_v2_umup_capk1e4,2.7698565165201825,2.7698565165201825,1.2733573913574219,3.293710700674887,20.37790730794271,1.184637007340508,23.380619800870207,1.6642885917172485,1.6276535952718503,1.2453277312742708,1.0096232892792039,Application Usage,1
21,dd-1668-D/Long/short,toto_v2_umup_capk1e4,0.2813938458760579,0.2813938458760579,0.45149733225504557,1.440021035652825,1.56100222269694,0.6347150038498839,9.430625084434984,0.5304656877462085,0.8256706038354923,0.7027562452474606,0.4666774358460681,Application Usage,4
22,dd-1671-D/Long/short,toto_v2_umup_capk1e4,0.969178581237793,0.969178581237793,0.739801025390625,7.716947586191462,0.48683668772379557,0.8164741782522442,35.98542069304423,0.9844686796631943,0.9848141144540881,0.740060610096353,0.6439783146797025,Database,1
23,dd-1674-D/Long/short,toto_v2_umup_capk1e4,3.620072428385417,3.620072428385417,1.0230149586995443,8.920923638296921,0.4118197758992513,0.6639883404743486,252.04882330187786,1.902648792705952,1.4664798023097925,0.7884959011589502,0.7447882124581313,Database,2
24,dd-1679-D/Long/short,toto_v2_umup_capk1e4,0.23031685911578897,0.23031685911578897,0.25244969497492287,2.106434247527653,1.213411232277199,0.5482745572942733,23.803086210218154,0.4799133870979106,0.8231419023325001,0.4329988030163497,0.3812229643608868,Database,54
25,dd-1680-D/Long/short,toto_v2_umup_capk1e4,3.648570760091146,3.648570760091146,1.0846880594889323,3.8933917188865683,0.6079772313435873,0.8155051205535561,42.88904893956485,1.9101232316505514,1.4175199457910623,0.80495694403881,0.6920656098462135,Database,1
26,dd-1681-D/Long/short,toto_v2_umup_capk1e4,3.225194634331597,3.225194634331597,0.8984839545355903,4.88159920932159,0.5628913031684027,0.37453201339688846,40.15179052080003,1.7958826894682172,0.7533871412823817,0.3769211997895575,0.2979176268759028,Database,3
27,dd-1684-D/Long/short,toto_v2_umup_capk1e4,5.301677449544271,5.301677449544271,0.7654333114624023,10.783704326467873,0.41052138010660805,0.5814171461716291,406.99394898978335,2.302537176582448,2.7764545109828207,0.9229778316199135,0.9152297202272115,Application Usage,1
28,dd-1689-D/Long/short,toto_v2_umup_capk1e4,0.15637760162353515,0.15637760162353515,0.3098725954691569,0.6610659905521573,0.787342898050944,1.1099764732612651,3.874060661581565,0.39544607928709463,1.0407305829210527,0.8155192422068345,0.577647733206889,Application Usage,1
29,dd-1691-D/Long/short,toto_v2_umup_capk1e4,6.874041748046875,6.874041748046875,2.480271657307943,9.986427062013032,0.9052059809366862,1.6149851204971184,23.664020033935625,2.6218393825798856,0.9561445560191822,0.9045169808419439,0.6685089224345844,Application Usage,1
30,dd-1700-D/Long/short,toto_v2_umup_capk1e4,1.707376820074084e-07,1.707376820074084e-07,0.00040100574493408204,0.0015967670032936314,0.0037546674410502117,0.0037622335998928236,0.017083201554643206,0.0004132041650412159,0.0038326694222493565,0.0037195231480831696,0.0029269234943638473,"Infrastructure, Database",5
31,dd-1705-D/Long/short,toto_v2_umup_capk1e4,1.261499532063802,1.261499532063802,0.5656265258789063,1.1451247773534428,4.121888732910156,1.8949611157788473,15.834840450524812,1.1231649620887405,2.5605877701316095,1.2895134851198515,1.1319587267103268,Database,1
32,dd-1708-D/Long/short,toto_v2_umup_capk1e4,0.06675836245218912,0.06675836245218912,0.15892410278320312,0.5428849836029935,0.30350513458251954,0.3049216787002663,7.025643868287909,0.2583763968558063,0.4644802763081668,0.28569603133665983,0.2635490480719873,Database,1
33,dd-1709-D/Long/short,toto_v2_umup_capk1e4,1.498237101236979,1.498237101236979,0.715847905476888,1.08266474737531,0.6424208958943685,0.6175213059412215,7.176627605459888,1.2240249594011468,0.9083197630055379,0.5312136773492728,0.43304218347008017,Database,1
34,dd-1710-D/Long/short,toto_v2_umup_capk1e4,1.367675526936849,1.367675526936849,0.6731751124064128,1.0251391056573667,0.5406633377075195,0.5707414347992755,7.351196046630173,1.1694766038432958,0.8722926797313136,0.502109850508904,0.4138780239822636,Database,1
35,dd-1712-H/Medium/short,toto_v2_umup_capk1e4,9.487359364827475,9.487359364827475,0.5573201179504395,1.239031120472322,0.0528209904829661,0.09354327591195877,49.37897014102011,3.080155737106076,4.190209325577476,0.7581720389768222,0.7572568890059943,Networking,1
36,dd-1713-D/Long/short,toto_v2_umup_capk1e4,0.0005537153532107671,0.0005537153532107671,0.006692702571551005,0.05122900602479739,0.07080991268157959,0.09401433566755033,34.09146414455228,0.02353115707335207,0.22940430032008133,0.06524688717563157,0.7038189241865987,Database,1
37,dd-1717-30T/Short/short,toto_v2_umup_capk1e4,18.500504811604817,18.500504811604817,2.418687184651693,3.6422407393024905,3.2632967631022134,1.0956237436014875,104.36189342044996,4.301221316278066,1.68933294389048,0.9499552897997567,0.8899106313233385,"Database, Application Usage",1
38,dd-1722-D/Long/short,toto_v2_umup_capk1e4,2.323441569010417,2.323441569010417,0.49230281575520835,283.91769967959686,0.978878207973667,0.9170836718137745,10971.247919054213,1.524283952880964,1.75547524214367,0.5669713986442361,0.5083536346155051,"Database, Application Usage",100
39,dd-1724-D/Long/short,toto_v2_umup_capk1e4,0.6329861246744791,0.6329861246744791,0.22864845784505208,2.0752415404275606,0.4270893147786458,0.25349616333892594,52.796578744926954,0.7956042512923616,1.0129807961782349,0.2911202353388306,0.25617249971640776,Infrastructure,100
40,dd-1727-H/Medium/short,toto_v2_umup_capk1e4,3.056149580515921e-06,3.056149580515921e-06,0.0016655403499801953,0.005402546894557527,0.002509025235970815,0.002512498282315249,0.060535157930357186,0.0017481846528659155,0.0026335231099568353,0.0025090250020487178,0.0017548875944171892,Infrastructure,1
41,dd-1728-D/Long/short,toto_v2_umup_capk1e4,1.0495909372965495,1.0495909372965495,0.6435907363891602,0.9348859508452011,1.6252696990966797,1.2852358201424385,6.987224604638398,1.0244954549906746,1.455759796563429,0.9145121287868665,0.7299616242355526,Infrastructure,16
42,dd-1730-D/Long/short,toto_v2_umup_capk1e4,2.300927937825521,2.300927937825521,1.0569176228841146,3.583046064999737,4.855206705729167,1.3851610453462433,33.27487942707483,1.5168809900007056,1.3966422325621348,0.973138827758958,0.7846718109664519,Infrastructure,5
43,dd-1731-D/Long/short,toto_v2_umup_capk1e4,5.4101661253511235,5.4101661253511235,0.614763009860721,7.678083600379807,3.2740679901822625,0.3289956724183325,169.70533667966293,2.3259763810819583,1.8618079974437447,0.4920818188871144,0.4243655044193821,Infrastructure,89
44,dd-1733-D/Long/short,toto_v2_umup_capk1e4,7.15571484375,7.15571484375,0.642229736328125,7.647359038857376,5.436481584821428,0.6729255109565409,249.03756663066096,2.675016793171587,2.7086929355173597,0.6503148519335608,0.5924304466866156,Infrastructure,100
45,dd-1734-D/Long/short,toto_v2_umup_capk1e4,4.523416137695312,4.523416137695312,0.8662302017211914,6.394474234501873,0.48041553497314454,0.6468263533946027,103.81870043947647,2.126832418808617,2.147935490612655,0.874825198667866,0.8438958962096788,Infrastructure,1
46,dd-1737-D/Long/short,toto_v2_umup_capk1e4,1.2771883138020834,1.2771883138020834,0.7026687622070312,2.932523151469505,7.168070475260417,0.9960813764278741,26.11007144119873,1.1301275652783995,1.046419734660815,0.6506225335031024,0.49414703196378135,Infrastructure,5
47,dd-1738-D/Long/short,toto_v2_umup_capk1e4,3.4004033406575522,3.4004033406575522,1.4146358489990234,6.4562497262296485,1.3947739919026694,0.9234959348636339,26.031549761375093,1.844018259306982,0.9918113167167145,0.760866567881862,0.5258800404564528,Infrastructure,1
48,dd-1742-D/Long/short,toto_v2_umup_capk1e4,4.611947123209635,4.611947123209635,1.9190324147542317,7.2219230797432,3.8053548177083334,1.7318202824775242,23.47187411663957,2.1475444403340376,1.7472876544948597,1.5613654292313381,1.2006631956669378,Infrastructure,1
49,dd-1744-D/Long/short,toto_v2_umup_capk1e4,2.9718718352141202,2.9718718352141202,1.049817798755787,5.051535337669049,1.0104193793402778,1.1965871776919994,48.16849368458755,1.723911782897872,1.5186647113105483,0.9248276275460571,0.7815100089160675,Infrastructure,9
50,dd-1746-30T/Short/short,toto_v2_umup_capk1e4,0.6215642962539405,0.6215642962539405,0.508385039212411,0.6882381771401586,1.4880355031866777,0.6100646504638326,4.580241835457151,0.7883934907480785,0.728954070447845,0.47005632090776794,0.36852459940684645,Infrastructure,19
51,dd-1748-D/Long/short,toto_v2_umup_capk1e4,0.00010419161990284919,0.00010419161990284919,0.009363863865534465,0.07165248155842092,0.013156646490097046,0.013058569498541457,0.7957683726376811,0.010207429642316874,0.01430089524519896,0.01311903593007936,0.011254000529857477,Infrastructure,1
52,dd-1750-D/Long/short,toto_v2_umup_capk1e4,5.8996124267578125,5.8996124267578125,2.062281545003255,4.310117999423034,0.713007926940918,1.0900662887052457,76.35451455953996,2.42891177829863,0.9334493381229819,0.7925505407013798,0.72229203668841,Infrastructure,1
53,dd-1755-D/Long/short,toto_v2_umup_capk1e4,0.9088275692327236,0.9088275692327236,0.6080381812118902,1.7250985718652803,2.785714002159553,0.8599402340523788,14.247065491751467,0.9533244826567309,1.0252539180516718,0.653915365600625,0.5314390530686205,Infrastructure,82
54,dd-1763-D/Long/short,toto_v2_umup_capk1e4,0.5151058197021484,0.5151058197021484,0.49554850260416666,1.2226069289576442,0.8853646172417535,0.7611035080084485,19.378107953840463,0.7177087290134825,0.5238937086267197,0.36172716359541107,0.2990325943723615,Infrastructure,24
55,dd-1771-D/Long/short,toto_v2_umup_capk1e4,1.3693449232313368,1.3693449232313368,0.7506383260091146,2.3890505015891343,6.599993218315972,0.5290262929080817,16.889254479843046,1.1701901226857698,0.7402306351297633,0.474833511275224,0.4074715168946448,Application Usage,3
